"publisher","year","value"
"ct-admin",2019,296070.6861
"ct-admin",2020,295443.274
"cu",2018,297021.5192
"cyan",2018,68163.117244
"cyan",2019,65633.272029
"cyan",2020,62322.727793
"dai",2018,2081146.546
"dai-e",2018,14709904.986524
"dai-e",2019,18099045.01782
"damien-foundation",2018,13897778.4398
"damien-foundation",2019,14173973.222262
"damien-foundation",2020,14033345.92508
"dance4life",2018,1530106.04
"danida",2019,538932515.2671
"danida",2020,337759757.1254
"danida",2018,2016194743.992
"dba",2018,565503.5981
"dba",2019,590058.975489
"dba",2020,516269.51218
"dca",2018,9914367
"dca",2019,6887641.4892
"dca",2020,2925382.856
"dcaf",2018,6021609.531
"dcaf",2019,802215.936
"dcaf",2020,669282.9143
"dciecpatnl",2018,1696690.414
"dciecpatnl",2019,1657845.8097
"dciecpatnl",2020,1696690.414
"ddp",2018,285751.386148
"ddp",2019,217283.28921
"ddp",2020,220678.716846
"dec-uk",2018,31782250
"deltares",2018,1423200
"dfid",2018,14054109400.3644
"dfid",2019,11118722070.8772
"dfid",2020,7415762422.219
"dggf_financing_local_smes",2018,63953000
"dggf_financing_local_smes",2019,50868400
"dggf_financing_local_smes",2020,44014000
"dhsc",2018,139900412.073286
"dhsc",2019,143317234.029679
"dhsc",2020,103043883.58677
"dipr",2018,1784574.0066
"djapo",2018,1231923.106
"djapo",2019,1282803.2796
"djapo",2020,1299637.776
"dla",2018,10956032
"dla",2019,7468911
"dttillp",2018,3002034.9116
"dynamo_international",2018,524278.93784
"dynamo_international",2019,378944.275191
"dynamo_international",2020,354421.67824
"ebrd",2018,8664177620.64184
"ec",2018,1214403.514
"ec",2019,1179390.8904
"ec",2020,1159341.092
"ec-devco",2018,9784648908.23
"ec-devco",2020,12793896.724
"ec-devco",2019,46417772.742
"ec-echo",2018,1814593913.27436
"ec-echo",2019,560001318.44112
"ec-echo",2020,68706205.71914
"ecdpm",2018,10987930.642
"eclosio",2018,2178942.92
"eclosio",2019,2030364.0027
"eclosio",2020,1889159.238
"educate",2018,80244
"ef_",2018,3580422.65832
"ef_",2019,3288168.340158
"ef_",2020,3141425.82572
"eib",2018,34164929502.468
"ejc",2018,3150898.384
"ejc",2019,1065265.575
"ejc",2020,1079556.5
"emms",2018,264489.8772
"energy_saving_trust",2018,2077981.0476
"energy_saving_trust",2019,3084412.5
"energy_saving_trust",2020,2837091.1869
"etmkdw",2018,834607.176
"etmkdw",2019,741134.6058
"etmkdw",2020,731643.4
"fa",2018,6049005.428348
"fa",2019,1536482.61936
"fa",2020,1304671.895059
"fact",2018,84627.768
"fairtrade_be",2018,737292.318
"fairtrade_be",2019,761562.1923
"fairtrade_be",2020,796264.982
"fao",2018,183374647.11
"fco",2018,823283600.920071
"fh",2018,60450.5086
"fh",2019,107931.0609
"fh",2020,107536.9264
"fiabel",2018,284272.73138
"fiabel",2019,294452.313339
"fiabel",2020,293649.10506
"fian-belgium",2018,258727.75016
"fian-belgium",2019,274400.404842
"fian-belgium",2020,248952.6077
"finland_mfa",2018,1215595491.44
"finland_mfa",2019,886658227.584
"finland_mfa",2020,814547040.354
"foei",2018,2471127.066
"foenl",2018,3348602.212
"foenl",2019,2720805.8937
"foenl",2020,2757307.68
"fomin",2018,5750000
"fomin",2019,3250000
"fomin",2020,250000
"foncaba",2018,268623.3072
"foncaba",2019,211884.10233
"foncaba",2020,209427.0229
"fos",2018,4762758.962
"fos",2019,5221799.83881
"fos",2020,5404475.7503
"free_press_unlimited",2018,7602556.5
"free_press_unlimited",2019,7501915.575
"free_press_unlimited",2020,7602556.5
"freeagirl",2018,581626.26
"freeagirl",2019,839421.081
"freeagirl",2020,458270.4
"fucid",2018,329391.338
"fucid",2019,330479.8467
"fucid",2020,327551.852
"fundacion-acceso",2018,470311
"fwf",2018,18955974.6865
"g3w-m3m_admin",2018,1405049.23066
"g3w-m3m_admin",2019,1361569.876386
"g3w-m3m_admin",2020,1373136.9831
"gac-amc",2019,1318923056.396
"gac-amc",2018,1883664910.3995
"gac-amc",2020,554509856.9815
"gavi",2018,1499004095
"gavi",2019,1532016207
"gavi",2020,808564698
"gb-chc-220949",2018,29249653.50728
"gb-chc-220949",2019,32119969.204674
"gb-chc-220949",2020,21975737.276029
"geomoun",2018,1543972.752
"geomoun",2019,1668150.3012
"geomoun",2020,1556275.13
"gi-jhu",2018,35274
"gi-jhu",2019,17835
"giro555",2018,17655817.146
"gogla",2018,107056
"grc2018",2018,199616.846
"hai",2018,2128141.796
"hai",2019,2099969.9358
"hai",2020,2128141.796
"halo",2018,2588749
"halo",2019,2509817
"halo",2020,657311
"healthnet",2018,338478.47
"healthnet",2019,273577.5201
"healthpartners-international",2018,774845.2331
"healthpartners-international",2019,92921.985
"hefoundation",2018,249534.4
"helpage_international",2018,85918930.27
"helpage_international",2019,5455710.1287
"helpage_international",2020,2120641.8055
"hhc",2018,1210989.3698
"hhc",2019,1353996.0486
